"GeneID","Symbol","Description"
"100039292","Btf3-ps7","basic transcription factor 3, pseudogene 7"
"100039300","Gm16373","enhancer of yellow 2 pseudogene"
"100039302","Gm2147","motile sperm domain containing 1 pseudogene"
"100039305","Mup-ps19","major urinary protein, pseudogene 19"
"100039308","Gm2150","beta galactoside alpha 2,6 sialyltransferase 1 pseudogene"
"100039313","Gm15060","predicted gene 15060"
"100039315","Pramel51","PRAME like 51"
"100039316","Gm9843","predicted gene 9843"
"100039317","Gm2155","predicted gene 2155"
"100039319","H2ab1","H2A.B variant histone 1"
"100039322","Gm2157","ribosomal protein L22 like 1 pseudogene"
"100039324","Gm10147","predicted gene 10147"
"100039331","Gm2163","predicted gene 2163"
"100039332","Gm2164","predicted gene 2164"
"100039334","Gm2165","predicted gene 2165"
"100039338","Gm11779","predicted gene 11779"
"100039343","Gm9797","translocase of inner mitochondrial membrane 8 homolog a1 pseudogene"
"100039346","Gm2174","predicted gene 2174"
"100039348","Gm2176","glucosamine-6-phosphate deaminase 1 pseudogene"
"100039353","Gm2178","ribosomal protein L34 pseudogene"
"100039355","Rps16-ps2","ribosomal protein S16, pseudogene 2"
"100039357","Gm20802","predicted gene, 20802"
"100039359","Gm10399","predicted gene 10399"
"100039362","Gm2182","predicted gene 2182"
"100039370","Gm2189","predicted gene 2189"
"100039375","Gm15470","ornithine decarboxylase, structural 1 pseudogene"
"100039376","Gapdh-ps14","glyceraldehyde-3-phosphate dehydrogenase, pseudogene 14"
"100039377","Gm10096","predicted gene 10096"
"100039384","Gm2199","mitochondrial carrier homolog 2 pseudogene"
"100039386","Gm2200","predicted gene 2200"
"100039389","Gm2203","Kruppel-like factor 5 pseudogene"
"100039405","Gm2213","protein phosphatase 1, regulatory subunit 10 pseudogene"
"100039413","Gm14294","predicted gene 14294"
"100039417","Gm2221","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039419","Gm2223","predicted pseudogene 2223"
"100039422","Gm2225","predicted gene 2225"
"100039426","Gm2229","ribosomal protein, large, P0 pseudogene"
"100039429","Gm2231","predicted gene 2231"
"100039432","Gm2233","predicted gene 2233"
"100039436","Mageb16-ps1","MAGE family member B16, pseudogene 1"
"100039440","B230206L02Rik","RIKEN cDNA B230206L02 gene"
