,Name,Term,ES,NES
149,4ZJQV2_13_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26545.86479644705,0.7334199056158341
150,4ZJQV2_4_count,Oxidative Phosphorylation (GO:0006119),26545.096545516728,0.7333986800679333
151,4ZJQV2_15_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26542.04047467476,0.7333142457047789
152,4ZJQV2_25_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26541.735492085754,0.7333058195222696
153,4ZJQV2_10_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26541.527119919894,0.7333000625316651
154,4ZJQV2_24_count,Oxidative Phosphorylation (GO:0006119),26538.12082521324,0.7332059520417108
155,4ZJQV2_8_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26537.207871810624,0.7331807285952904
156,4ZJQV2_28_count,Oxidative Phosphorylation (GO:0006119),26536.08191138573,0.733149620104575
157,4ZJQV2_36_count,Oxidative Phosphorylation (GO:0006119),26535.87314710196,0.7331438522803781
158,4ZJQV2_5_count,Oxidative Phosphorylation (GO:0006119),26534.604755252254,0.7331088086365629
159,4ZJQV2_39_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26533.208917693686,0.7330702438710783
160,4ZJQV2_14_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26532.595161650876,0.7330532867705114
161,4ZJQV2_1_count,Oxidative Phosphorylation (GO:0006119),26532.21971368821,0.7330429137421149
162,4ZJQV2_38_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26530.685840898655,0.7330005352833543
163,4ZJQV2_12_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26530.113633803285,0.7329847261139376
164,4ZJQV2_2_count,Oxidative Phosphorylation (GO:0006119),26527.211055687047,0.7329045325099854
165,4ZJQV2_17_count,Aerobic Electron Transport Chain (GO:0019646),26526.138736806544,0.7328749060495873
166,4ZJQV2_34_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26524.152511992248,0.7328200298258514
167,4ZJQV2_29_count,Oxidative Phosphorylation (GO:0006119),26523.115521874115,0.7327913794428106
168,4ZJQV2_25_count,Oxidative Phosphorylation (GO:0006119),26520.727887622405,0.7327254129165376
169,4ZJQV2_21_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26520.105224961186,0.7327082097403095
170,4ZJQV2_27_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26519.162691665122,0.7326821690486108
171,4ZJQV2_40_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26518.378107873275,0.7326604922497958
172,4ZJQV2_30_count,Oxidative Phosphorylation (GO:0006119),26516.357279975327,0.7326046599980479
173,4ZJQV2_4_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26514.938324174673,0.7325654565124065
174,4ZJQV2_7_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26512.45524909273,0.7324968531082152
175,4ZJQV2_24_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26511.08232791383,0.732458921485751
176,4ZJQV2_23_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26506.945628687212,0.7323446310838517
